pos:2975 neg:4313
代办银行卡5	68	NULL	NULL	NULL	NULL	0.042030628	NULL	NULL	1
代办银行卡4	68	NULL	NULL	NULL	NULL	0.037160743	NULL	NULL	1
健身器材出售	95	NULL	4	NULL	NULL	0.033631037	NULL	NULL	1
国产片	214	200	30	46	52	0.179955857	3.26612260313653	2.09827373952525	0
淘宝放单1	83	122	21	3	NULL	0.081601934	0.562335144618808	0	1
衣食住行	185	783	169	134	781	0.217170009	5.01355358368609	4.20292448566225	0
甜品	3747	2587	1797	778	967	NULL	5.78903068008751	4.83066047798621	0
孕妇备孕	74	336	5	88	610	0.064031907	3.45385700478382	3.15617090424264	1
苍井空	108	686	182	138	120	0.117826001	4.94791482616163	3.77821894525044	1
好股	208	1488	76	98	416	0.415467651	4.35385999451095	3.61681175440256	0
心灵鸡汤	201	1172	286	224	303	0.260076039	4.99473878928785	3.64156009467598	0
师范	184	62429	287	3887	2599	0.152057957	6.60733575452187	6.00463104810259	0
杭州	1670	54493	3769	35825	25094	NULL	7.47707603973347	7.45739041077452	0
手机软件	177	1012	401	390	721	0.020644676	4.82674104193633	4.34369904613925	0
自然风光	11581	187	8554	11	214	NULL	2.84648038613487	1.74786809746676	0
盗墓	177	1825	316	564	593	0.039178809	6.08181338369514	4.85207394608743	0
总经理	178	1826	240	281	858	0.116727096	4.90319921962176	4.26726409148522	0
语言胎教	89	63	19	NULL	12	0.016390214	NULL	NULL	1
私募主力	1801	62	2497	72	29	NULL	3.5633796573251	3.69825457954444	0
互联网营销	201	550	400	190	327	0.028478552	4.41953603016085	4.25843049776546	0
脑洞	201	2310	296	379	989	0.164567484	6.15787205145194	4.93648836883459	1
微交易招商群	161	50	9	28	4	0.268706713	2.13833305950803	1.32966134885476	1
东风裕隆	55	50	11	8	11	0.038035824	2.41019420936877	0.867563228481461	1
免费代理	211	1545	381	380	889	0.126946927	5.46849880324824	4.82010028232527	0
杭州银行	149	141	2	22	12	0.009390352	3.60123643699922	3.04284548781654	1
共勉	171	6442	139	492	3464	0.728307635	5.77340362230063	5.20029451440347	0
律师▄支持腾讯	1093	NULL	1	NULL	NULL	NULL	NULL	NULL	1
猪猪	89	29853	72	4166	1464	0.152182204	5.85565968971683	4.70333385282408	1
买卡	52	571	6	16	254	0.157014197	3.66452372052897	2.63905732961526	1
办指定姓名银行卡	57	7	NULL	NULL	NULL	0.307097795	NULL	NULL	1
新手抄底	60	1	41	NULL	NULL	0.043940828	NULL	NULL	1
切线理论	101	1	73	NULL	NULL	0.029941915	NULL	NULL	1
鲜花园艺	3381	3	2725	2	1	NULL	1.6094379124341	0.693147180559945	1
社会工招聘	96	6	3	4	4	0.062074924	1.90615474653985	1.38629436111989	1
刷金币	23512	584	8040	226	397	NULL	4.31005818294428	3.45824507071599	0
美眉	625	12829	343	981	2805	NULL	6.3355041463143	5.10305402063731	1
pk10计划	114	224	32	21	15	0.168797217	2.76164263406667	1.97300140639361	1
男演员	12419	237	5158	10	545	NULL	2.88616517819943	2.16395565688206	0
喊单交流	252	624	181	355	271	0.282729526	4.01259953828916	3.78839409101767	0
装修票装饰票	105	7	NULL	1	2	0.03146584	0	0	1
款姐包养	103	NULL	NULL	NULL	NULL	0.356886581	NULL	NULL	1
西班牙红酒	71	18	20	4	6	0.034287021	1.6094379124341	0.693147180559945	1
体育投注	140	188	20	23	86	0.042993835	2.78269467240392	2.64053407161574	1
福州中科白癜风	216	345	106	3	54	0.01176039	1.38629436111989	0	1
穴位	929	333	846	119	292	NULL	4.5370626942303	3.25575122716424	0
甘肃白癜风	327	17	6	1	NULL	0.027592494	0.693147180559945	0	1
伊瞳	50	70	88	8	25	0.164567484	2.83071340375463	1.38629436111989	1
开钢材票	54	31	9	5	3	0.01628465	1.09861228866811	1.09861228866811	1
300英雄	1628	2113	5869	2020	1887	NULL	6.16207256244074	5.08953700310779	0
