tag	oldtag2count	oldexttag2count	newtag2cout	newtitleexttag2count	newdescexttag2count	classifer	entropy	entropyv2
手机	9571	157904	14652	29042	69006	NULL	7.34316219289559	6.60995566541386
cosplay	10237	3699	14345	2089	3510	NULL	6.3107041981278	5.31837669461326
传媒	9443	55014	5710	14694	8315	NULL	7.53873198976034	6.4968915418079
外企	9435	541	471	144	181	NULL	4.8892914820386	4.15976515959713
迷宫	9431	1260	2819	293	305	NULL	5.55387503599581	4.56668753500458
母婴	9418	20551	15796	6250	8190	NULL	6.34988851513148	5.60269544111245
公务员	9403	17552	7726	4293	8212	NULL	6.00300608111598	5.44468269897994
秒杀	9388	40161	20831	18848	39942	NULL	6.03311163155057	4.77370417738007
影视	9367	159388	18428	19677	18730	NULL	6.88885742627517	6.32736145711691
百度	9366	28021	11278	13290	20629	NULL	6.51825856829169	6.04629080008139
艾欧尼亚	9354	4307	5894	2523	1528	NULL	5.25197847299706	3.39066884402494
招商	9287	29437	14994	17412	20045	NULL	7.31617451709913	6.54136028382195
模特	9267	16753	13170	6991	16419	NULL	6.08547229175902	5.33614751374982
泡吧	9178	4326	6898	1043	2700	NULL	5.66832594120092	4.87827631558333
服装	9116	43245	13487	23254	31203	NULL	6.74572175049918	6.04462922726272
民谣	9091	1506	5693	1035	1440	NULL	5.94691901742372	4.86420506331957
团购	9051	32693	11399	10645	19230	NULL	7.34714431745664	6.69991445035455
找工作	8979	36684	24235	14235	71679	NULL	6.33501419575864	5.52465959913846
优惠	8968	53767	14030	37480	46917	NULL	5.4081508728313	3.84090141848141
腾讯	8907	32929	10498	12695	19548	NULL	7.08689126485826	6.36744348231232
qq飞车手游	8899	19934	2450	2433	3488	NULL	5.1454702165135	4.78084905903814
化妆	8821	11825	6666	4191	7232	NULL	5.89660225585446	5.17415047194573
古风	8638	11042	20378	7952	14278	NULL	6.87052498566173	5.42660258333376
部落冲突	8636	32185	9244	16607	16439	NULL	6.61814070832299	5.4687550261106
自学	8634	3838	5763	2099	2333	NULL	5.80637116787279	5.71269059587624
操盘手	8616	2399	6866	902	1483	NULL	5.56245634180186	4.83724982221459
穿越火线	8611	141228	18883	16036	19573	NULL	5.83871021560941	5.23875928575043
福利	8588	144932	17777	102201	78516	NULL	6.3773331808468	6.06540860526375
精准营销	8588	296	11069	52	122	NULL	4.32306217569232	3.47789074950944
dnf	11884	133529	36197	45331	27494	NULL	7.13045124898122	6.05212549173712
酒店	8559	69117	9953	10321	18600	NULL	6.90021460026705	6.11898381543841
钓鱼	8537	25584	12367	12349	30337	NULL	7.03990475066796	6.46126348944185
收藏	8467	18692	7782	8084	14480	NULL	6.09196109925655	5.34489828492965
经纪人	8420	3731	5342	1766	2820	NULL	5.65758563631887	4.96272892769181
黑马	8390	8744	11116	3252	3332	NULL	6.46601872900189	5.98839399838837
微商	8277	23605	12983	9832	17657	NULL	6.7780092044262	6.44424459120177
女神	8232	70761	11436	16249	10654	NULL	6.36446783870046	5.44518687663092
心态调整	8216	30	3915	1	18	NULL	0.693147180559945	0
登山	8164	68947	10593	2354	9564	NULL	5.94082515640911	5.13529637870164
开黑	8026	224286	21784	22446	56025	NULL	6.58537195387814	5.2140156703484
涨停	8017	10866	9459	3586	5598	NULL	6.05794363157897	5.51415749481692
调节压力	7961	7	3781	NULL	1	NULL	NULL	NULL
a股	8019	6045	10310	2403	5536	NULL	5.8635077003203	5.5856608841966
传统行业	7942	150	13269	11	168	NULL	2.66988040880652	2.30461938482067
减肥	7931	30018	14798	7224	14077	NULL	6.37555678778741	5.11572662775619
健康	7905	170999	11725	19476	114937	NULL	7.1691097670733	6.48850317117337
贷款	7833	26348	12531	14419	22227	NULL	6.43136767114264	5.85484857100699
电子	7795	76676	5701	18012	17534	NULL	7.3845501486694	6.44172417432021
宝妈	7785	35857	15308	11530	25471	NULL	6.29914218664284	5.89470021369185
淘宝秒杀群	7717	2433	1932	1024	699	NULL	5.1556511443714	3.48507600153685
美容	7706	31354	10470	6284	11211	NULL	6.61849973092607	5.88594986351356
电脑	7696	58748	12689	22443	37518	NULL	7.22563746124135	6.37598612689491
信用卡	7530	19679	9999	9202	9688	NULL	6.14633343026116	5.64140305025824
徒步	7519	10516	12227	5828	16024	NULL	6.25300278262349	5.57947863703536
二元期权	7513	1676	1689	630	898	NULL	4.91246587808492	4.45258520060477
化妆品	7499	17322	7376	6059	9611	NULL	6.41456536460277	5.76724341013584
教育	7455	141082	10395	40480	45513	NULL	7.76963000715892	6.8286266473446
优惠券	7450	32119	17186	18900	30028	NULL	5.95313892773174	4.72634080177084
家居日用	7405	142	5847	17	43	NULL	3.57485942165114	2.857102837442
手游	7383	35843	19751	19676	28878	NULL	6.91873501063083	6.16833419871877
台球	7318	8209	4770	3327	4754	NULL	6.3318005471991	6.09559547386267
腐女	7303	7255	10874	1627	5064	NULL	6.08415042069953	4.71976131499252
建材	7293	18045	15326	10173	11753	NULL	6.36030448601843	5.77340625375889
苹果	7239	40775	10564	12377	17911	NULL	6.89529654272547	6.02188163651102
打折	7230	11206	6696	3569	5118	NULL	5.52045012319556	3.87323367188664
北漂	7203	4994	8237	1455	1540	NULL	5.69973902119099	5.3331966895288
电影原声	7183	20	3321	NULL	14	NULL	NULL	NULL
名胜古迹	7160	158	5113	12	145	NULL	2.73340177780867	0.693147180559945
采购	7133	46836	15285	40338	38047	NULL	6.76667874256239	6.14434701237424
科幻	7102	1364	4561	411	1117	NULL	5.87574908307355	5.09720101011649
天天酷跑	7078	46295	10699	18053	13523	NULL	5.51166636118434	4.42050574305566
书法	7066	14670	7067	5707	7919	NULL	6.6343025756122	5.8063805916559
求职	7066	31993	21837	13462	59080	NULL	6.37743351229803	5.94072558439375
高考	7060	64838	11610	11102	14924	NULL	6.31740408210892	5.94597438078019
无产阶级	7039	572	4183	90	133	NULL	4.80325271843206	3.23683709433855
物理	7025	29344	5113	5696	4360	NULL	6.71307207555268	5.76253556316816
股民	7012	12764	10014	2730	9601	NULL	5.98174848641119	5.52571603903799
写作	6988	13115	4331	2677	6386	NULL	6.47861132221568	5.45878594930973
读书	6946	97525	12671	8497	18809	NULL	6.65646335051187	6.25137239870788
辅导资料	6926	147	2934	18	263	NULL	3.36532152969879	2.56494935746154
exo	9544	42839	13945	19102	15600	NULL	6.5457901193874	5.10194455546596
火影忍者	6908	13386	7726	5830	4759	NULL	5.95060229221121	5.19818687607918
原创	6815	13168	6074	4627	9445	NULL	7.03706247778398	6.00600002061212
斗地主	6787	18640	5038	2854	3427	NULL	6.11866560660695	5.46260944363081
大盘	6781	5665	7981	885	4159	NULL	5.77780450551116	5.09547627833461
